act_symbol,period_end_date,reported,estimate
ABNB,2020-03-31,,
ABNB,2020-06-30,,
ABNB,2020-09-30,,
ABNB,2020-12-31,-10.88,-9.18
ABNB,2021-03-31,-1.75,-1.15
ABNB,2021-06-30,-0.11,-0.47
ABNB,2021-09-30,1.22,0.84
ABNB,2021-12-31,0.08,0.05
ABNB,2022-03-31,-0.03,-0.28
ABNB,2022-06-30,0.56,0.41
ABNB,2022-09-30,1.79,1.43
ABNB,2022-12-31,0.48,0.27
ABNB,2023-03-31,0.18,0.10
ABNB,2023-06-30,0.98,0.77
ABNB,2023-09-30,2.39,2.08
ABNB,2023-12-31,0.76,0.67
ABNB,2024-03-31,0.41,0.23
ABNB,2024-06-30,0.86,0.92
ABNB,2024-09-30,2.13,2.17
ABNB,2024-12-31,0.73,0.58
ADSK,2020-01-31,0.92,0.90
ADSK,2020-04-30,0.85,0.81
ADSK,2020-07-31,0.98,0.90
ADSK,2020-10-31,1.04,0.95
ADSK,2021-01-31,1.18,1.07
ADSK,2021-04-30,1.03,0.94
ADSK,2021-07-31,1.21,1.11
ADSK,2021-10-31,1.33,1.25
ADSK,2022-01-31,1.50,1.43
ADSK,2022-04-30,1.43,1.33
ADSK,2022-07-31,1.65,1.56
ADSK,2022-10-31,1.70,1.70
ADSK,2023-01-31,1.86,1.81
ADSK,2023-04-30,1.55,1.55
ADSK,2023-07-31,1.91,1.72
ADSK,2023-10-31,2.07,1.99
ADSK,2024-01-31,2.09,1.95
ADSK,2024-04-30,1.87,1.78
ADSK,2024-07-31,2.15,2.00
ADSK,2024-10-31,2.17,2.11
ADSK,2025-01-31,2.29,2.13
AEP,2020-03-31,1.02,1.09
AEP,2020-06-30,1.08,1.06
AEP,2020-09-30,1.47,1.46
AEP,2020-12-31,0.87,0.79
AEP,2021-03-31,1.15,1.23
AEP,2021-06-30,1.18,1.14
AEP,2021-09-30,1.43,1.44
AEP,2021-12-31,0.98,0.94
AEP,2022-03-31,1.22,1.19
AEP,2022-06-30,1.20,1.18
AEP,2022-09-30,1.62,1.57
AEP,2022-12-31,1.62,1.57
AEP,2023-03-31,1.11,1.14
AEP,2023-06-30,1.13,1.14
AEP,2023-09-30,1.77,1.73
AEP,2023-12-31,1.23,1.27
AEP,2024-03-31,1.27,1.30
AEP,2024-06-30,1.25,1.23
AEP,2024-09-30,1.85,1.78
AEP,2024-12-31,1.24,1.24
ANSS,2020-03-31,0.83,0.78
ANSS,2020-06-30,1.55,1.16
ANSS,2020-09-30,1.36,1.26
ANSS,2020-12-31,2.96,2.51
ANSS,2021-03-31,1.12,0.85
ANSS,2021-06-30,1.85,1.51
ANSS,2021-09-30,1.59,1.34
